strategy,model,level,accuracy,formula_rate,coordinate_rate,avg_steps,samples
baseline,Kimi-K2-Thinking,L1,0.88,1.0,0.0,4.08,25
baseline,Kimi-K2-Thinking,L2,1.0,1.0,0.0,4.0,2
baseline,Kimi-K2-Thinking,L3,1.0,1.0,1.0,5.5,2
baseline,claude-opus-4-6,L1,0.625,1.0,0.052083333333333336,4.71875,96
baseline,claude-opus-4-6,L2,0.10714285714285714,1.0,0.10714285714285714,11.797619047619047,84
baseline,claude-opus-4-6,L3,0.10666666666666667,1.0,1.0,25.626666666666665,75
baseline,claude-sonnet-4-6-thinking,L1,0.35353535353535354,1.0,0.020202020202020204,11.585858585858587,99
baseline,claude-sonnet-4-6-thinking,L2,0.0963855421686747,0.37349397590361444,0.03614457831325301,8.44578313253012,83
baseline,claude-sonnet-4-6-thinking,L3,0.0,0.0,0.0,0.14864864864864866,74
baseline,deepseek-v4-pro,L1,0.6571428571428571,0.14285714285714285,0.0,4.6,35
baseline,deepseek-v4-pro,L3,0.0,1.0,1.0,17.0,1
baseline,gemini-3-flash-preview,L1,0.4230769230769231,0.8365384615384616,0.25961538461538464,5.25,104
baseline,gemini-3-flash-preview,L2,0.08433734939759036,0.30120481927710846,0.1686746987951807,5.373493975903615,83
baseline,gemini-3-flash-preview,L3,0.11392405063291139,0.6329113924050633,0.46835443037974683,1.8860759493670887,79
baseline,gpt-4o,L1,0.07608695652173914,0.9510869565217391,0.0,4.184782608695652,184
baseline,gpt-4o,L2,0.2608695652173913,1.0,0.0,8.869565217391305,184
baseline,gpt-4o,L3,0.47674418604651164,1.0,1.0,6.5523255813953485,172
baseline,gpt-4o-mini,L1,0.6428571428571429,0.2222222222222222,0.0,5.690476190476191,126
baseline,gpt-4o-mini,L2,0.30158730158730157,1.0,0.0,4.904761904761905,126
baseline,gpt-4o-mini,L3,0.3148148148148148,1.0,1.0,3.9166666666666665,108
baseline,gpt-5.5,L1,0.5686274509803921,0.8725490196078431,0.0,5.2745098039215685,102
baseline,gpt-5.5,L2,0.10714285714285714,0.38095238095238093,0.0,2.119047619047619,84
baseline,gpt-5.5,L3,0.038461538461538464,0.5769230769230769,0.5769230769230769,3.128205128205128,78
baseline,grok-4,L1,0.5876288659793815,0.5051546391752577,0.0,3.845360824742268,97
baseline,grok-4,L2,0.075,0.8125,0.0,4.5,80
baseline,grok-4,L3,0.5245901639344263,0.7868852459016393,0.06557377049180328,3.9508196721311477,61
constraint_boundary_solver,Kimi-K2-Thinking,L1,0.9166666666666666,1.0,0.0,5.041666666666667,24
constraint_boundary_solver,Kimi-K2-Thinking,L2,1.0,1.0,0.0,3.3333333333333335,3
constraint_boundary_solver,Kimi-K2-Thinking,L3,1.0,1.0,1.0,4.4,5
constraint_boundary_solver,claude-opus-4-6,L1,0.7551020408163265,1.0,0.11224489795918367,4.510204081632653,98
constraint_boundary_solver,claude-opus-4-6,L2,1.0,1.0,0.13095238095238096,6.357142857142857,84
constraint_boundary_solver,claude-opus-4-6,L3,1.0,1.0,1.0,24.08,75
constraint_boundary_solver,claude-sonnet-4-6-thinking,L1,0.5050505050505051,0.9494949494949495,0.04040404040404041,9.858585858585858,99
constraint_boundary_solver,claude-sonnet-4-6-thinking,L2,0.7023809523809523,0.6785714285714286,0.0,12.333333333333334,84
constraint_boundary_solver,claude-sonnet-4-6-thinking,L3,0.0945945945945946,0.0945945945945946,0.0945945945945946,2.108108108108108,74
constraint_boundary_solver,deepseek-v4-pro,L1,0.25,0.1111111111111111,0.0,4.972222222222222,36
constraint_boundary_solver,deepseek-v4-pro,L2,0.75,0.25,0.0,3.0,4
constraint_boundary_solver,deepseek-v4-pro,L3,1.0,0.16666666666666666,0.5833333333333334,4.0,12
constraint_boundary_solver,gemini-3-flash-preview,L1,0.19047619047619047,0.6571428571428571,0.1523809523809524,5.495238095238095,105
constraint_boundary_solver,gemini-3-flash-preview,L2,0.34523809523809523,0.5476190476190477,0.11904761904761904,3.3452380952380953,84
constraint_boundary_solver,gemini-3-flash-preview,L3,0.19230769230769232,0.7307692307692307,0.4230769230769231,1.6923076923076923,78
constraint_boundary_solver,gpt-4o,L1,0.05555555555555555,0.9365079365079365,0.0,4.222222222222222,126
constraint_boundary_solver,gpt-4o,L2,0.7142857142857143,1.0,0.0,9.38888888888889,126
constraint_boundary_solver,gpt-4o,L3,0.7777777777777778,1.0,1.0,6.962962962962963,108
constraint_boundary_solver,gpt-4o-mini,L1,0.6190476190476191,0.2619047619047619,0.0,5.595238095238095,126
constraint_boundary_solver,gpt-4o-mini,L2,0.7301587301587301,1.0,0.0,4.896825396825397,126
constraint_boundary_solver,gpt-4o-mini,L3,0.7685185185185185,1.0,1.0,3.8796296296296298,108
constraint_boundary_solver,gpt-5.5,L1,0.7058823529411765,0.9117647058823529,0.0,5.2745098039215685,102
constraint_boundary_solver,gpt-5.5,L2,0.7857142857142857,0.7857142857142857,0.023809523809523808,3.1785714285714284,84
constraint_boundary_solver,gpt-5.5,L3,0.7564102564102564,0.7564102564102564,0.7564102564102564,3.0641025641025643,78
constraint_boundary_solver,grok-4,L1,0.6767676767676768,0.24242424242424243,0.0,3.717171717171717,99
constraint_boundary_solver,grok-4,L2,0.8701298701298701,0.7662337662337663,0.0,3.883116883116883,77
constraint_boundary_solver,grok-4,L3,0.5342465753424658,0.8493150684931506,0.2465753424657534,4.095890410958904,73
dimensionless_ratio_design,Kimi-K2-Thinking,L1,0.92,1.0,0.04,5.32,25
dimensionless_ratio_design,Kimi-K2-Thinking,L2,1.0,1.0,0.0,4.5,2
dimensionless_ratio_design,Kimi-K2-Thinking,L3,1.0,1.0,1.0,5.333333333333333,6
dimensionless_ratio_design,claude-opus-4-6,L1,0.7938144329896907,1.0,0.09278350515463918,4.484536082474227,97
dimensionless_ratio_design,claude-opus-4-6,L2,0.4642857142857143,1.0,0.19047619047619047,7.964285714285714,84
dimensionless_ratio_design,claude-opus-4-6,L3,0.44,1.0,1.0,27.506666666666668,75
dimensionless_ratio_design,claude-sonnet-4-6-thinking,L1,0.6363636363636364,0.9696969696969697,0.020202020202020204,10.323232323232324,99
dimensionless_ratio_design,claude-sonnet-4-6-thinking,L2,0.2891566265060241,0.3855421686746988,0.04819277108433735,6.421686746987952,83
dimensionless_ratio_design,claude-sonnet-4-6-thinking,L3,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.44594594594594594,74
dimensionless_ratio_design,deepseek-v4-pro,L1,0.4722222222222222,0.1388888888888889,0.0,4.555555555555555,36
dimensionless_ratio_design,deepseek-v4-pro,L2,0.8,0.2,0.2,3.0,5
dimensionless_ratio_design,deepseek-v4-pro,L3,1.0,0.5,0.8333333333333334,4.5,12
dimensionless_ratio_design,gemini-3-flash-preview,L1,0.34951456310679613,0.7378640776699029,0.30097087378640774,5.660194174757281,103
dimensionless_ratio_design,gemini-3-flash-preview,L2,0.2682926829268293,0.3902439024390244,0.15853658536585366,3.6341463414634148,82
dimensionless_ratio_design,gemini-3-flash-preview,L3,0.175,0.6625,0.4125,2.6,80
dimensionless_ratio_design,gpt-4o,L1,0.1111111111111111,0.9285714285714286,0.0,4.277777777777778,126
dimensionless_ratio_design,gpt-4o,L2,0.5317460317460317,1.0,0.007936507936507936,8.80952380952381,126
dimensionless_ratio_design,gpt-4o,L3,0.5555555555555556,1.0,1.0,6.166666666666667,108
dimensionless_ratio_design,gpt-4o-mini,L1,0.8015873015873016,0.19047619047619047,0.0,5.309523809523809,126
dimensionless_ratio_design,gpt-4o-mini,L2,0.5396825396825397,1.0,0.0,4.722222222222222,126
dimensionless_ratio_design,gpt-4o-mini,L3,0.5648148148148148,0.9907407407407407,1.0,3.8981481481481484,108
dimensionless_ratio_design,gpt-5.5,L1,0.7745098039215687,0.7941176470588235,0.0,5.323529411764706,102
dimensionless_ratio_design,gpt-5.5,L2,0.39285714285714285,0.5952380952380952,0.023809523809523808,2.6904761904761907,84
dimensionless_ratio_design,gpt-5.5,L3,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.243589743589744,78
dimensionless_ratio_design,grok-4,L1,0.6464646464646465,0.2727272727272727,0.0,3.7373737373737375,99
dimensionless_ratio_design,grok-4,L2,0.41975308641975306,0.8024691358024691,0.0,4.481481481481482,81
dimensionless_ratio_design,grok-4,L3,0.6285714285714286,0.8571428571428571,0.2714285714285714,4.557142857142857,70
halton_space_filling,Kimi-K2-Thinking,L1,0.56,1.0,0.0,4.12,25
halton_space_filling,Kimi-K2-Thinking,L2,0.0,1.0,0.0,5.0,1
halton_space_filling,Kimi-K2-Thinking,L3,0.0,1.0,1.0,4.0,1
halton_space_filling,claude-opus-4-6,L1,0.7291666666666666,1.0,0.041666666666666664,4.791666666666667,96
halton_space_filling,claude-opus-4-6,L2,0.35714285714285715,1.0,0.13095238095238096,10.345238095238095,84
halton_space_filling,claude-opus-4-6,L3,0.49333333333333335,1.0,1.0,25.826666666666668,75
halton_space_filling,claude-sonnet-4-6-thinking,L1,0.46938775510204084,0.9795918367346939,0.04081632653061224,11.989795918367347,98
halton_space_filling,claude-sonnet-4-6-thinking,L2,0.08536585365853659,0.24390243902439024,0.04878048780487805,5.658536585365853,82
halton_space_filling,claude-sonnet-4-6-thinking,L3,0.02666666666666667,0.04,0.04,0.8666666666666667,75
halton_space_filling,deepseek-v4-pro,L1,0.8918918918918919,0.05405405405405406,0.0,4.216216216216216,37
halton_space_filling,deepseek-v4-pro,L2,0.0,0.0,0.0,4.0,2
halton_space_filling,deepseek-v4-pro,L3,0.0,0.4,0.4,2.6,5
halton_space_filling,gemini-3-flash-preview,L1,0.4230769230769231,0.75,0.23076923076923078,5.0,104
halton_space_filling,gemini-3-flash-preview,L2,0.0,0.3493975903614458,0.20481927710843373,3.2771084337349397,83
halton_space_filling,gemini-3-flash-preview,L3,0.16455696202531644,0.5949367088607594,0.4430379746835443,1.7088607594936709,79
halton_space_filling,gpt-4o,L1,0.0873015873015873,0.9365079365079365,0.0,4.23015873015873,126
halton_space_filling,gpt-4o,L2,0.30952380952380953,1.0,0.0,9.5,126
halton_space_filling,gpt-4o,L3,0.6203703703703703,1.0,1.0,6.814814814814815,108
halton_space_filling,gpt-4o-mini,L1,0.6111111111111112,0.18253968253968253,0.0,5.73015873015873,126
halton_space_filling,gpt-4o-mini,L2,0.3253968253968254,1.0,0.0,4.968253968253968,126
halton_space_filling,gpt-4o-mini,L3,0.35185185185185186,1.0,1.0,3.925925925925926,108
halton_space_filling,gpt-5.5,L1,0.6764705882352942,0.8921568627450981,0.00980392156862745,5.519607843137255,102
halton_space_filling,gpt-5.5,L2,0.27710843373493976,0.46987951807228917,0.03614457831325301,2.4698795180722892,83
halton_space_filling,gpt-5.5,L3,0.32051282051282054,0.5769230769230769,0.5769230769230769,3.8205128205128207,78
halton_space_filling,grok-4,L1,0.71875,0.46875,0.0,3.9895833333333335,96
halton_space_filling,grok-4,L2,0.3013698630136986,0.7808219178082192,0.0,4.273972602739726,73
halton_space_filling,grok-4,L3,0.5423728813559322,0.7966101694915254,0.03389830508474576,3.8135593220338984,59
real_world_archetype_matrix,Kimi-K2-Thinking,L1,1.0,1.0,0.04,4.24,25
real_world_archetype_matrix,Kimi-K2-Thinking,L2,1.0,1.0,0.0,5.0,2
real_world_archetype_matrix,Kimi-K2-Thinking,L3,1.0,1.0,1.0,4.75,4
real_world_archetype_matrix,claude-opus-4-6,L1,0.7083333333333334,1.0,0.052083333333333336,4.541666666666667,96
real_world_archetype_matrix,claude-opus-4-6,L2,0.6428571428571429,1.0,0.11904761904761904,9.107142857142858,84
real_world_archetype_matrix,claude-opus-4-6,L3,0.6,1.0,1.0,26.253333333333334,75
real_world_archetype_matrix,claude-sonnet-4-6-thinking,L1,0.40404040404040403,0.9494949494949495,0.010101010101010102,10.535353535353535,99
real_world_archetype_matrix,claude-sonnet-4-6-thinking,L2,0.5357142857142857,0.7023809523809523,0.07142857142857142,15.119047619047619,84
real_world_archetype_matrix,claude-sonnet-4-6-thinking,L3,0.05405405405405406,0.05405405405405406,0.05405405405405406,1.7297297297297298,74
real_world_archetype_matrix,deepseek-v4-pro,L1,0.37142857142857144,0.17142857142857143,0.0,4.828571428571428,35
real_world_archetype_matrix,deepseek-v4-pro,L2,1.0,0.0,0.0,6.0,1
real_world_archetype_matrix,deepseek-v4-pro,L3,0.0,0.0,0.0,1.0,2
real_world_archetype_matrix,gemini-3-flash-preview,L1,0.21153846153846154,0.7403846153846154,0.19230769230769232,4.451923076923077,104
real_world_archetype_matrix,gemini-3-flash-preview,L2,0.27710843373493976,0.3493975903614458,0.12048192771084337,4.626506024096385,83
real_world_archetype_matrix,gemini-3-flash-preview,L3,0.189873417721519,0.7088607594936709,0.4177215189873418,2.518987341772152,79
real_world_archetype_matrix,gpt-4o,L1,0.08461538461538462,0.9307692307692308,0.0,4.207692307692308,130
real_world_archetype_matrix,gpt-4o,L2,0.5303030303030303,1.0,0.0,8.931818181818182,132
real_world_archetype_matrix,gpt-4o,L3,0.5964912280701754,1.0,1.0,6.526315789473684,114
real_world_archetype_matrix,gpt-4o-mini,L1,0.7222222222222222,0.19047619047619047,0.0,5.5396825396825395,126
real_world_archetype_matrix,gpt-4o-mini,L2,0.5396825396825397,1.0,0.0,4.7936507936507935,126
real_world_archetype_matrix,gpt-4o-mini,L3,0.4444444444444444,1.0,1.0,3.935185185185185,108
real_world_archetype_matrix,gpt-5.5,L1,0.6470588235294118,0.8627450980392157,0.0,4.911764705882353,102
real_world_archetype_matrix,gpt-5.5,L2,0.5357142857142857,0.7976190476190477,0.07142857142857142,3.3214285714285716,84
real_world_archetype_matrix,gpt-5.5,L3,0.5256410256410257,0.7435897435897436,0.7435897435897436,5.1923076923076925,78
real_world_archetype_matrix,grok-4,L1,0.6666666666666666,0.4895833333333333,0.0,3.9375,96
real_world_archetype_matrix,grok-4,L2,0.6375,0.775,0.0,4.7625,80
real_world_archetype_matrix,grok-4,L3,0.6153846153846154,0.8153846153846154,0.13846153846153847,3.8461538461538463,65
