strategy,model,error_category,count,share
baseline,Kimi-K2-Thinking,under_specification,2,0.6666666666666666
baseline,Kimi-K2-Thinking,noise_distraction,1,0.3333333333333333
baseline,claude-opus-4-6,concept_confusion,141,0.7921348314606742
baseline,claude-opus-4-6,under_specification,36,0.20224719101123595
baseline,claude-opus-4-6,noise_distraction,1,0.0056179775280898875
baseline,claude-sonnet-4-6-thinking,under_specification,191,0.8967136150234741
baseline,claude-sonnet-4-6-thinking,concept_confusion,11,0.051643192488262914
baseline,claude-sonnet-4-6-thinking,noise_distraction,11,0.051643192488262914
baseline,deepseek-v4-pro,under_specification,12,0.9230769230769231
baseline,deepseek-v4-pro,concept_confusion,1,0.07692307692307693
baseline,gemini-3-flash-preview,under_specification,185,0.8980582524271845
baseline,gemini-3-flash-preview,concept_confusion,11,0.05339805825242718
baseline,gemini-3-flash-preview,noise_distraction,10,0.04854368932038835
baseline,gpt-4o,concept_confusion,203,0.5126262626262627
baseline,gpt-4o,under_specification,175,0.44191919191919193
baseline,gpt-4o,noise_distraction,18,0.045454545454545456
baseline,gpt-4o-mini,concept_confusion,154,0.7439613526570048
baseline,gpt-4o-mini,noise_distraction,24,0.11594202898550725
baseline,gpt-4o-mini,under_specification,23,0.1111111111111111
baseline,gpt-4o-mini,unknown_error,6,0.028985507246376812
baseline,gpt-5.5,under_specification,129,0.6649484536082474
baseline,gpt-5.5,concept_confusion,39,0.20103092783505155
baseline,gpt-5.5,noise_distraction,26,0.13402061855670103
baseline,grok-4,unknown_error,59,0.4125874125874126
baseline,grok-4,under_specification,53,0.3706293706293706
baseline,grok-4,concept_confusion,19,0.13286713286713286
baseline,grok-4,noise_distraction,12,0.08391608391608392
constraint_boundary_solver,Kimi-K2-Thinking,under_specification,2,1.0
constraint_boundary_solver,claude-opus-4-6,under_specification,24,1.0
constraint_boundary_solver,claude-sonnet-4-6-thinking,under_specification,141,1.0
constraint_boundary_solver,deepseek-v4-pro,under_specification,28,1.0
constraint_boundary_solver,gemini-3-flash-preview,under_specification,203,1.0
constraint_boundary_solver,gpt-4o,under_specification,119,0.664804469273743
constraint_boundary_solver,gpt-4o,concept_confusion,54,0.3016759776536313
constraint_boundary_solver,gpt-4o,noise_distraction,6,0.0335195530726257
constraint_boundary_solver,gpt-4o-mini,concept_confusion,60,0.5607476635514018
constraint_boundary_solver,gpt-4o-mini,under_specification,21,0.19626168224299065
constraint_boundary_solver,gpt-4o-mini,noise_distraction,14,0.1308411214953271
constraint_boundary_solver,gpt-4o-mini,unknown_error,12,0.11214953271028037
constraint_boundary_solver,gpt-5.5,under_specification,67,1.0
constraint_boundary_solver,grok-4,under_specification,51,0.6710526315789473
constraint_boundary_solver,grok-4,unknown_error,24,0.3157894736842105
constraint_boundary_solver,grok-4,noise_distraction,1,0.013157894736842105
dimensionless_ratio_design,Kimi-K2-Thinking,under_specification,2,1.0
dimensionless_ratio_design,claude-opus-4-6,concept_confusion,87,0.8130841121495327
dimensionless_ratio_design,claude-opus-4-6,under_specification,20,0.18691588785046728
dimensionless_ratio_design,claude-sonnet-4-6-thinking,under_specification,159,0.9520958083832335
dimensionless_ratio_design,claude-sonnet-4-6-thinking,concept_confusion,7,0.041916167664670656
dimensionless_ratio_design,claude-sonnet-4-6-thinking,noise_distraction,1,0.005988023952095809
dimensionless_ratio_design,deepseek-v4-pro,under_specification,20,1.0
dimensionless_ratio_design,gemini-3-flash-preview,under_specification,193,1.0
dimensionless_ratio_design,gpt-4o,under_specification,113,0.5159817351598174
dimensionless_ratio_design,gpt-4o,concept_confusion,98,0.4474885844748858
dimensionless_ratio_design,gpt-4o,noise_distraction,8,0.0365296803652968
dimensionless_ratio_design,gpt-4o-mini,concept_confusion,100,0.7692307692307693
dimensionless_ratio_design,gpt-4o-mini,under_specification,15,0.11538461538461539
dimensionless_ratio_design,gpt-4o-mini,noise_distraction,12,0.09230769230769231
dimensionless_ratio_design,gpt-4o-mini,unknown_error,3,0.023076923076923078
dimensionless_ratio_design,gpt-5.5,under_specification,83,0.6587301587301587
dimensionless_ratio_design,gpt-5.5,concept_confusion,22,0.1746031746031746
dimensionless_ratio_design,gpt-5.5,noise_distraction,21,0.16666666666666666
dimensionless_ratio_design,grok-4,under_specification,46,0.42592592592592593
dimensionless_ratio_design,grok-4,unknown_error,43,0.39814814814814814
dimensionless_ratio_design,grok-4,concept_confusion,10,0.09259259259259259
dimensionless_ratio_design,grok-4,noise_distraction,9,0.08333333333333333
halton_space_filling,Kimi-K2-Thinking,under_specification,11,0.8461538461538461
halton_space_filling,Kimi-K2-Thinking,concept_confusion,2,0.15384615384615385
halton_space_filling,claude-opus-4-6,concept_confusion,92,0.7796610169491526
halton_space_filling,claude-opus-4-6,under_specification,25,0.211864406779661
halton_space_filling,claude-opus-4-6,noise_distraction,1,0.00847457627118644
halton_space_filling,claude-sonnet-4-6-thinking,under_specification,188,0.94
halton_space_filling,claude-sonnet-4-6-thinking,concept_confusion,6,0.03
halton_space_filling,claude-sonnet-4-6-thinking,noise_distraction,6,0.03
halton_space_filling,deepseek-v4-pro,under_specification,8,0.7272727272727273
halton_space_filling,deepseek-v4-pro,concept_confusion,3,0.2727272727272727
halton_space_filling,gemini-3-flash-preview,under_specification,184,0.8803827751196173
halton_space_filling,gemini-3-flash-preview,concept_confusion,16,0.07655502392344497
halton_space_filling,gemini-3-flash-preview,noise_distraction,9,0.0430622009569378
halton_space_filling,gpt-4o,under_specification,121,0.49794238683127573
halton_space_filling,gpt-4o,concept_confusion,106,0.43621399176954734
halton_space_filling,gpt-4o,noise_distraction,16,0.06584362139917696
halton_space_filling,gpt-4o-mini,concept_confusion,155,0.7598039215686274
halton_space_filling,gpt-4o-mini,under_specification,29,0.14215686274509803
halton_space_filling,gpt-4o-mini,noise_distraction,16,0.0784313725490196
halton_space_filling,gpt-4o-mini,unknown_error,4,0.0196078431372549
halton_space_filling,gpt-5.5,under_specification,110,0.7534246575342466
halton_space_filling,gpt-5.5,noise_distraction,19,0.13013698630136986
halton_space_filling,gpt-5.5,concept_confusion,17,0.11643835616438356
halton_space_filling,grok-4,unknown_error,44,0.41904761904761906
halton_space_filling,grok-4,under_specification,35,0.3333333333333333
halton_space_filling,grok-4,concept_confusion,16,0.1523809523809524
halton_space_filling,grok-4,noise_distraction,10,0.09523809523809523
real_world_archetype_matrix,claude-opus-4-6,concept_confusion,59,0.6704545454545454
real_world_archetype_matrix,claude-opus-4-6,under_specification,28,0.3181818181818182
real_world_archetype_matrix,claude-opus-4-6,noise_distraction,1,0.011363636363636364
real_world_archetype_matrix,claude-sonnet-4-6-thinking,under_specification,154,0.9166666666666666
real_world_archetype_matrix,claude-sonnet-4-6-thinking,concept_confusion,7,0.041666666666666664
real_world_archetype_matrix,claude-sonnet-4-6-thinking,noise_distraction,7,0.041666666666666664
real_world_archetype_matrix,deepseek-v4-pro,under_specification,24,1.0
real_world_archetype_matrix,gemini-3-flash-preview,under_specification,206,1.0
real_world_archetype_matrix,gpt-4o,under_specification,120,0.5286343612334802
real_world_archetype_matrix,gpt-4o,concept_confusion,98,0.43171806167400884
real_world_archetype_matrix,gpt-4o,noise_distraction,9,0.039647577092511016
real_world_archetype_matrix,gpt-4o-mini,concept_confusion,117,0.7647058823529411
real_world_archetype_matrix,gpt-4o-mini,noise_distraction,17,0.1111111111111111
real_world_archetype_matrix,gpt-4o-mini,under_specification,17,0.1111111111111111
real_world_archetype_matrix,gpt-4o-mini,unknown_error,2,0.013071895424836602
real_world_archetype_matrix,gpt-5.5,under_specification,73,0.6517857142857143
real_world_archetype_matrix,gpt-5.5,noise_distraction,21,0.1875
real_world_archetype_matrix,gpt-5.5,concept_confusion,18,0.16071428571428573
real_world_archetype_matrix,grok-4,under_specification,49,0.5697674418604651
real_world_archetype_matrix,grok-4,unknown_error,26,0.3023255813953488
real_world_archetype_matrix,grok-4,noise_distraction,6,0.06976744186046512
real_world_archetype_matrix,grok-4,concept_confusion,5,0.05813953488372093
