model,case_id,strategy,level,noise_label,reference_judgment,repeats,distinct_judgments,judgment_signature,prompt_uid
gpt-4o,C003,halton_space_filling,L3,emotional_pressure,cannot_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",halton_space_filling__C003_L3_emotional_pressure
gpt-4o,C003,halton_space_filling,L3,lighting,cannot_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",halton_space_filling__C003_L3_lighting
gpt-4o-mini,C007,halton_space_filling,L2,none,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",halton_space_filling__C007_L2_none
gpt-4o-mini,C008,dimensionless_ratio_design,L1,lighting,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",dimensionless_ratio_design__C008_L1_lighting
gpt-4o-mini,C008,halton_space_filling,L1,lighting,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",halton_space_filling__C008_L1_lighting
gpt-4o-mini,C008,real_world_archetype_matrix,L2,lighting,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",real_world_archetype_matrix__C008_L2_lighting
grok-4,C004,baseline,L1,lighting,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",baseline__C004_L1_lighting
grok-4,C004,halton_space_filling,L1,lighting,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",halton_space_filling__C004_L1_lighting
grok-4,C004,halton_space_filling,L1,material_color,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",halton_space_filling__C004_L1_material_color
grok-4,C005,baseline,L1,ambient_noise,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",baseline__C005_L1_ambient_noise
grok-4,C005,baseline,L1,material_color,can_pass,3,3,"('can_pass', 'cannot_pass', 'uncertain')",baseline__C005_L1_material_color
Kimi-K2-Thinking,C001,baseline,L1,ambient_noise,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",baseline__C001_L1_ambient_noise
Kimi-K2-Thinking,C001,baseline,L1,emotional_pressure,can_pass,3,2,"('can_pass', 'can_pass', 'cannot_pass')",baseline__C001_L1_emotional_pressure
Kimi-K2-Thinking,C001,baseline,L1,material_color,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",baseline__C001_L1_material_color
Kimi-K2-Thinking,C001,constraint_boundary_solver,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C001_L1_lighting
Kimi-K2-Thinking,C001,constraint_boundary_solver,L1,material_color,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C001_L1_material_color
Kimi-K2-Thinking,C001,dimensionless_ratio_design,L1,emotional_pressure,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",dimensionless_ratio_design__C001_L1_emotional_pressure
Kimi-K2-Thinking,C001,halton_space_filling,L1,emotional_pressure,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",halton_space_filling__C001_L1_emotional_pressure
Kimi-K2-Thinking,C001,halton_space_filling,L1,none,can_pass,3,2,"('can_pass', 'uncertain', 'uncertain')",halton_space_filling__C001_L1_none
Kimi-K2-Thinking,C002,dimensionless_ratio_design,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",dimensionless_ratio_design__C002_L1_ambient_noise
Kimi-K2-Thinking,C002,halton_space_filling,L1,ambient_noise,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",halton_space_filling__C002_L1_ambient_noise
Kimi-K2-Thinking,C002,halton_space_filling,L1,none,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",halton_space_filling__C002_L1_none
claude-opus-4-6,C001,baseline,L3,material_color,can_pass,3,2,"('can_pass', 'cannot_pass', 'cannot_pass')",baseline__C001_L3_material_color
claude-opus-4-6,C001,constraint_boundary_solver,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C001_L1_ambient_noise
claude-opus-4-6,C001,dimensionless_ratio_design,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",dimensionless_ratio_design__C001_L1_ambient_noise
claude-opus-4-6,C001,dimensionless_ratio_design,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",dimensionless_ratio_design__C001_L1_lighting
claude-opus-4-6,C001,dimensionless_ratio_design,L1,material_color,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",dimensionless_ratio_design__C001_L1_material_color
claude-opus-4-6,C001,halton_space_filling,L3,ambient_noise,can_pass,3,2,"('can_pass', 'can_pass', 'cannot_pass')",halton_space_filling__C001_L3_ambient_noise
claude-opus-4-6,C001,halton_space_filling,L3,material_color,can_pass,3,2,"('can_pass', 'cannot_pass', 'cannot_pass')",halton_space_filling__C001_L3_material_color
claude-opus-4-6,C001,halton_space_filling,L3,none,can_pass,3,2,"('can_pass', 'cannot_pass', 'cannot_pass')",halton_space_filling__C001_L3_none
claude-opus-4-6,C001,real_world_archetype_matrix,L1,emotional_pressure,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",real_world_archetype_matrix__C001_L1_emotional_pressure
claude-opus-4-6,C001,real_world_archetype_matrix,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",real_world_archetype_matrix__C001_L1_lighting
claude-opus-4-6,C001,real_world_archetype_matrix,L1,material_color,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",real_world_archetype_matrix__C001_L1_material_color
claude-opus-4-6,C002,baseline,L1,ambient_noise,cannot_pass,2,2,"('cannot_pass', 'uncertain')",baseline__C002_L1_ambient_noise
claude-opus-4-6,C002,baseline,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",baseline__C002_L1_lighting
claude-opus-4-6,C002,constraint_boundary_solver,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C002_L1_ambient_noise
claude-opus-4-6,C002,constraint_boundary_solver,L1,emotional_pressure,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C002_L1_emotional_pressure
claude-opus-4-6,C002,constraint_boundary_solver,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C002_L1_lighting
claude-opus-4-6,C002,dimensionless_ratio_design,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'uncertain', 'uncertain')",dimensionless_ratio_design__C002_L1_ambient_noise
claude-opus-4-6,C002,real_world_archetype_matrix,L1,emotional_pressure,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",real_world_archetype_matrix__C002_L1_emotional_pressure
claude-opus-4-6,C003,baseline,L1,emotional_pressure,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",baseline__C003_L1_emotional_pressure
claude-opus-4-6,C003,baseline,L1,material_color,can_pass,3,2,"('can_pass', 'uncertain', 'uncertain')",baseline__C003_L1_material_color
claude-opus-4-6,C003,constraint_boundary_solver,L1,emotional_pressure,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C003_L1_emotional_pressure
claude-opus-4-6,C003,constraint_boundary_solver,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C003_L1_lighting
claude-opus-4-6,C003,halton_space_filling,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'uncertain', 'uncertain')",halton_space_filling__C003_L1_ambient_noise
claude-opus-4-6,C003,real_world_archetype_matrix,L1,ambient_noise,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",real_world_archetype_matrix__C003_L1_ambient_noise
claude-opus-4-6,C004,baseline,L1,emotional_pressure,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",baseline__C004_L1_emotional_pressure
claude-opus-4-6,C004,baseline,L1,material_color,can_pass,3,2,"('can_pass', 'uncertain', 'uncertain')",baseline__C004_L1_material_color
claude-opus-4-6,C004,constraint_boundary_solver,L1,material_color,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C004_L1_material_color
claude-opus-4-6,C004,dimensionless_ratio_design,L3,ambient_noise,can_pass,3,2,"('can_pass', 'cannot_pass', 'cannot_pass')",dimensionless_ratio_design__C004_L3_ambient_noise
